物件名,住所,間取り,家賃,階数,最寄りまでの時間
スパシエ蒲田グランドタワー,東京都大田区西蒲田７,2K,9.5万円,"築5年
15階建",東急池上線/蓮沼駅 歩4分
リヨンドール東池袋,東京都豊島区東池袋５,2DK,12.9万円,"築4年
地下1地上4階建",ＪＲ山手線/大塚駅 歩7分
小田急線 参宮橋駅 地下1地上4階建 新築,東京都渋谷区代々木４,2K,18.5万円,"新築
地下1地上4階建",小田急線/参宮橋駅 歩5分
Ｊ．ＧＲＡＮ　Ｃｏｕｒｔ浅草,東京都台東区浅草３,2DK,18.8万円,"新築
12階建",つくばエクスプレス/浅草駅 歩7分
東京メトロ銀座線 浅草駅 12階建 新築,東京都台東区浅草３,2DK,18.9万円,"新築
12階建",東京メトロ銀座線/浅草駅 歩8分
東京メトロ丸ノ内線 中野坂上駅 2階建 築10年,東京都中野区本町３,2DK,13.7万円,"築10年
2階建",東京メトロ丸ノ内線/中野坂上駅 歩8分
カサス・ガーデン,東京都荒川区南千住６,2LDK,15.4万円,"築5年
6階建",ＪＲ常磐線/南千住駅 歩6分
ＪＲ常磐線 南千住駅 6階建 築5年,東京都荒川区南千住６,2LDK,11.7万円,"築5年
6階建",ＪＲ常磐線/南千住駅 歩6分
ハーモニーレジデンス神楽坂ヒルズサード,東京都新宿区山吹町,2K,12.85万円,"築5年
5階建",東京メトロ有楽町線/江戸川橋駅 歩5分
Villa Del SolII,東京都荒川区荒川３,2LDK,15万円,"築11年
3階建",ＪＲ常磐線/三河島駅 歩8分
都営浅草線 高輪台駅 3階建 築8年,東京都港区白金台２,2K,19.9万円,"築8年
3階建",都営浅草線/高輪台駅 歩5分
東京メトロ日比谷線 南千住駅 15階建 新築,東京都荒川区南千住７,2LDK,16.65万円,"新築
15階建",東京メトロ日比谷線/南千住駅 歩8分
Ｂｒｉｌｌｉａ　ｉｓｔ　浅草橋,東京都台東区浅草橋１,2DK,18.9万円,"築3年
13階建",ＪＲ総武線/浅草橋駅 歩2分
アイル王子ノルド,東京都北区王子１,2DK,14.6万円,"築2年
13階建",ＪＲ京浜東北線/王子駅 歩7分
東京メトロ日比谷線 南千住駅 15階建 新築,東京都荒川区南千住７,2LDK,16.65万円,"新築
15階建",東京メトロ日比谷線/南千住駅 歩8分
ガルデニア蔵前,東京都台東区蔵前４,2LDK,17.2万円,"築9年
10階建",都営大江戸線/蔵前駅 歩2分
東京メトロ丸ノ内線 大手町駅 9階建 築9年,東京都千代田区神田錦町２,2DK,18万円,"築9年
9階建",東京メトロ丸ノ内線/大手町駅 歩7分
都営大江戸線 新御徒町駅 12階建 築9年,東京都台東区小島２,2DK,17.9万円,"築9年
12階建",都営大江戸線/新御徒町駅 歩2分
都電荒川線 熊野前駅 12階建 新築,東京都荒川区東尾久６,2LDK,18.3万円,"新築
12階建",都電荒川線/熊野前駅 歩5分
カーサドマーニ,東京都品川区西品川１,2DK,15.5万円,"築13年
3階建",東急大井町線/下神明駅 歩7分
ドゥーエ両国III,東京都墨田区緑１,2DK,19.5万円,"築2年
11階建",都営大江戸線/森下駅 歩6分
都営大江戸線 両国駅 11階建 築2年,東京都墨田区緑１,2DK,19.5万円,"築2年
11階建",都営大江戸線/両国駅 歩5分
東京メトロ日比谷線 三ノ輪駅 15階建 築5年,東京都荒川区南千住１,2LDK,18.1万円,"築5年
15階建",東京メトロ日比谷線/三ノ輪駅 歩6分
ランズ池袋,東京都豊島区池袋本町１,2DK,17.9万円,"築8年
9階建",東武東上線/北池袋駅 歩7分
東京メトロ千代田線 町屋駅 18階建 築1年,東京都荒川区荒川４,2LDK,19万円,"築1年
18階建",東京メトロ千代田線/町屋駅 歩6分
都電荒川線 向原駅 4階建 築4年,東京都豊島区東池袋５,2DK,12.9万円,"築4年
4階建",都電荒川線/向原駅 歩2分
PARKaxis落合東中野,東京都中野区東中野３,2DK,17.8万円,"築3年
6階建",ＪＲ中央線/東中野駅 歩5分
SYFORME HIGASHI-SHINJUKUIII,東京都新宿区新宿７,2K,12.75万円,"築3年
5階建",東京メトロ副都心線/東新宿駅 歩3分
ラグゼナ町屋,東京都荒川区東尾久６,2LDK,18.3万円,"新築
12階建",都電荒川線/熊野前駅 歩4分
ＪＲ山手線 田端駅 13階建 築1年,東京都荒川区西尾久４,2LDK,19万円,"築1年
13階建",ＪＲ山手線/田端駅 歩10分
Ｓ－ＲＥＳＩＤＥＮＣＥ尾久ａｚｕｒｅ,東京都荒川区西尾久４,2LDK,19万円,"築1年
13階建",ＪＲ高崎線/尾久駅 歩8分
フィーカ千石,東京都文京区千石３,2DK,18.3万円,"築12年
11階建",都営三田線/千石駅 歩7分
京急本線 大森町駅 14階建 築3年,東京都大田区大森西５,2K,10.9万円,"築3年
14階建",京急本線/大森町駅 歩1分
ガーラ・ヒルズ千歳烏山,東京都世田谷区南烏山５,2K,9.3万円,"築3年
5階建",京王線/千歳烏山駅 歩5分
京王線 代田橋駅 4階建 築3年,東京都杉並区和泉１,2K,13.6万円,"築3年
4階建",京王線/代田橋駅 歩3分
ＰＲＥＭＩＵＭ　ＣＵＢＥ　東中野,東京都新宿区北新宿４,2K,11.95万円,"築3年
5階建",ＪＲ中央線/東中野駅 歩7分
グランカーサ三ノ輪2,東京都台東区日本堤２,2LDK,16.2万円,"新築
10階建",東京メトロ日比谷線/三ノ輪駅 歩5分
スプランディッド西日暮里,東京都荒川区西日暮里６,2LDK,18万円,"築1年
14階建",ＪＲ山手線/西日暮里駅 歩12分
京成押上線 京成曳舟駅 9階建 築3年,東京都墨田区八広２,2DK,15.5万円,"築3年
9階建",京成押上線/京成曳舟駅 歩10分
Ｂｒｉｌｌｉａ　ｉｓｔ　赤羽,東京都北区岩淵町,2DK,15.5万円,"築3年
12階建",ＪＲ京浜東北線/赤羽駅 歩12分
グランパセオ東新宿2,東京都新宿区大久保２,2K,19万円,"新築
地下1地上4階建",東京メトロ副都心線/東新宿駅 歩5分
ＪＲ京浜東北線 大井町駅 3階建 築13年,東京都品川区西品川１,2DK,15.5万円,"築13年
3階建",ＪＲ京浜東北線/大井町駅 歩9分
ザ・レジデンス三ノ輪,東京都荒川区南千住１,2LDK,18.1万円,"築5年
15階建",都電荒川線/荒川一中前駅 歩2分
ティモーネプレミアム押上イースト,東京都墨田区立花３,2DK,13.6万円,"築4年
6階建",東武亀戸線/東あずま駅 歩2分
ティモーネプレミアム押上イースト,東京都墨田区立花３,2DK,13.6万円,"築4年
6階建",東武亀戸線/東あずま駅 歩2分
グランフォース西新井アヴェニール,東京都足立区西新井栄町３,2DK,12.45万円,"築11年
9階建",東武伊勢崎線/西新井駅 歩7分
レオネクストフォルトゥーナ,東京都豊島区池袋２,2DK,12.3万円,"築10年
3階建",東京メトロ有楽町線/要町駅 歩6分
東京メトロ有楽町線 要町駅 2階建 築10年,東京都豊島区池袋２,2DK,12.3万円,"築10年
2階建",東京メトロ有楽町線/要町駅 歩6分
JMFレジデンス北品川,東京都品川区北品川２,2DK,18.5万円,"築6年
13階建",京急本線/新馬場駅 歩4分
西浅草二丁目貸家,東京都台東区西浅草２,2DK,14.3万円,"築11年
2階建",つくばエクスプレス/浅草駅 歩3分
東京メトロ東西線 落合駅 6階建 築3年,東京都中野区東中野３,2DK,17.8万円,"築3年
6階建",東京メトロ東西線/落合駅 歩1分
都営新宿線 菊川駅 9階建 築12年,東京都墨田区緑３,2LDK,15.5万円,"築12年
9階建",都営新宿線/菊川駅 歩8分
ＪＲ総武線 錦糸町駅 7階建 築12年,東京都墨田区石原４,2DK,15.8万円,"築12年
7階建",ＪＲ総武線/錦糸町駅 歩10分
レジデンス北千住,東京都足立区千住４,2LDK,12.4万円,"築14年
3階建",東京メトロ千代田線/北千住駅 歩8分
都営浅草線 本所吾妻橋駅 9階建 築3年,東京都墨田区本所４,2DK,17.7万円,"築3年
9階建",都営浅草線/本所吾妻橋駅 歩9分
東京メトロ銀座線 田原町駅 12階建 新築,東京都台東区寿１,2LDK,18.2万円,"新築
12階建",東京メトロ銀座線/田原町駅 歩5分
都営三田線 西巣鴨駅 3階建 築11年,東京都北区西ケ原４,2LDK,13万円,"築11年
3階建",都営三田線/西巣鴨駅 歩7分
フレンシア御徒町,東京都台東区東上野１,2LDK,18.3万円,"新築
13階建",ＪＲ山手線/御徒町駅 歩5分
ヴィラロイヤル滝野川,東京都北区滝野川１,2DK,11.9万円,"築10年
2階建",都営三田線/西巣鴨駅 歩10分
東急目黒線 西小山駅 5階建 築10年,東京都品川区荏原６,2DK,15.8万円,"築10年
5階建",東急目黒線/西小山駅 歩6分
都営三田線 千石駅 4階建 築10年,東京都文京区白山５,2LDK,15.3万円,"築10年
4階建",都営三田線/千石駅 歩4分
ルフォンプログレ蔵前ナチュール,東京都台東区三筋１,2LDK,19.4万円,"築2年
12階建",都営浅草線/蔵前駅 歩5分
日暮里・舎人ライナー 江北駅 3階建 新築,東京都足立区江北４,2DK,12.9万円,"新築
3階建",日暮里・舎人ライナー/江北駅 歩5分
GRACIA Iidabashi,東京都文京区春日１,2LDK,19.9万円,"築3年
地下1地上4階建",都営大江戸線/飯田橋駅 歩6分
ＪＲ山手線 上野駅 13階建 築7年,東京都台東区上野７,2LDK,19万円,"築7年
13階建",ＪＲ山手線/上野駅 歩4分
コンフォリア新御徒町,東京都台東区三筋２,2LDK,19.1万円,"築5年
14階建",都営大江戸線/新御徒町駅 歩4分
都営大江戸線 新御徒町駅 14階建 築5年,東京都台東区三筋２,2LDK,19.1万円,"築5年
14階建",都営大江戸線/新御徒町駅 歩4分
ｔｏｇｇｌｅ文京大塚,東京都文京区大塚５,2DK,18.8万円,"新築
4階建",東京メトロ丸ノ内線/新大塚駅 歩5分
西武有楽町線 新桜台駅 3階建 築11年,東京都練馬区桜台２,2LDK,11.5万円,"築11年
3階建",西武有楽町線/新桜台駅 歩7分
東京メトロ日比谷線 仲御徒町駅 13階建 新築,東京都台東区東上野１,2LDK,18.3万円,"新築
13階建",東京メトロ日比谷線/仲御徒町駅 歩3分
T’s garden西小山,東京都目黒区目黒本町５,2DK,15.3万円,"築11年
4階建",東急目黒線/西小山駅 歩5分
東急目黒線 西小山駅 4階建 築11年,東京都目黒区目黒本町５,2DK,15.3万円,"築11年
4階建",東急目黒線/西小山駅 歩5分
東京メトロ日比谷線 三ノ輪駅 13階建 築4年,東京都台東区日本堤２,2LDK,18万円,"築4年
13階建",東京メトロ日比谷線/三ノ輪駅 歩10分
仮称　町屋２丁目長屋計画,東京都荒川区町屋２,2K,8.1万円,"新築
3階建",東京メトロ千代田線/町屋駅 歩6分
都営浅草線 蔵前駅 10階建 築9年,東京都台東区蔵前４,2DK,17.2万円,"築9年
10階建",都営浅草線/蔵前駅 歩2分
ルフォンプログレ押上イースト,東京都墨田区京島２,2LDK,18.6万円,"新築
7階建",京成押上線/京成曳舟駅 歩5分
ブルーインスカイシティ103号,東京都葛飾区柴又６,2LDK,11.2万円,"築10年
2階建",京成金町線/柴又駅 歩7分
京成金町線 柴又駅 2階建 築10年,東京都葛飾区柴又６,2LDK,11.2万円,"築10年
2階建",京成金町線/柴又駅 歩7分
ＪＲ総武線 浅草橋駅 13階建 新築,東京都台東区柳橋２,2DK,17.7万円,"新築
13階建",ＪＲ総武線/浅草橋駅 歩5分
ＲＥＬＵＸＩＡ墨田八広,東京都墨田区八広４,2DK,12.6万円,"築4年
9階建",京成押上線/京成曳舟駅 歩13分
東京メトロ半蔵門線 押上駅 7階建 築9年,東京都墨田区向島５,2LDK,18.6万円,"築9年
7階建",東京メトロ半蔵門線/押上駅 歩9分
ウェルスクエア南大塚,東京都豊島区南大塚２,2LDK,17.4万円,"新築
5階建",ＪＲ山手線/大塚駅 歩7分
パークアクシス本所・親水公園,東京都墨田区本所４,2DK,17.7万円,"築3年
9階建",都営浅草線/本所吾妻橋駅 歩9分
L′Allure Nishikoyama,東京都品川区小山５,2DK,14.6万円,"新築
3階建",東急目黒線/西小山駅 歩6分
ＪＲ総武線 東中野駅 9階建 築6年,東京都中野区東中野２,2LDK,20万円,"築6年
9階建",ＪＲ総武線/東中野駅 歩7分
東急目黒線 西小山駅 3階建 新築,東京都品川区小山５,2DK,14.6万円,"新築
3階建",東急目黒線/西小山駅 歩6分
クレイシア・ヴァースクレイシアＩＤＺ王子,東京都北区王子本町１,2LDK,15.5万円,"築4年
8階建",ＪＲ京浜東北線/王子駅 歩5分
ルーブル品川西小山,東京都品川区荏原６,2DK,15.8万円,"築10年
5階建",東急目黒線/西小山駅 歩6分
ＪＲ山手線 田端駅 8階建 築8年,東京都荒川区東尾久２,2LDK,14万円,"築8年
8階建",ＪＲ山手線/田端駅 歩16分
マーシスマルル,東京都荒川区東尾久２,2LDK,14万円,"築8年
8階建",ＪＲ山手線/田端駅 歩16分
ドゥーエ南千住,東京都荒川区南千住６,2K,9.8万円,"築4年
7階建",東京メトロ日比谷線/南千住駅 歩9分
アクティ東仲通り,東京都中央区勝どき４,2DK,18万円,"築12年
8階建",都営大江戸線/勝どき駅 歩3分
Primavera,東京都葛飾区柴又１,2LDK,11.9万円,"築4年
2階建",京成本線/京成高砂駅 歩8分
Ｖｉｎｅｙａｒｄ,東京都荒川区荒川５,2K,10.8万円,"築9年
10階建",東京メトロ千代田線/町屋駅 歩4分
東京メトロ半蔵門線 押上駅 7階建 新築,東京都墨田区京島２,2LDK,18.6万円,"新築
7階建",東京メトロ半蔵門線/押上駅 歩10分
東京メトロ半蔵門線 押上駅 7階建 新築,東京都墨田区京島２,2LDK,18.6万円,"新築
7階建",東京メトロ半蔵門線/押上駅 歩10分
都営三田線 西巣鴨駅 13階建 築9年,東京都北区滝野川７,2LDK,18.2万円,"築9年
13階建",都営三田線/西巣鴨駅 歩5分
東京メトロ日比谷線 南千住駅 12階建 築10年,東京都台東区清川２,2LDK,17.5万円,"築10年
12階建",東京メトロ日比谷線/南千住駅 歩11分
フェニックス板橋大山,東京都板橋区大山東町,2DK,13.3万円,"築13年
13階建",都営三田線/板橋区役所前駅 歩4分
都営三田線 板橋区役所前駅 13階建 築13年,東京都板橋区大山東町,2DK,13.3万円,"築13年
13階建",都営三田線/板橋区役所前駅 歩4分
マイキャッスル,東京都目黒区大橋２,2LDK,19.8万円,"築3年
3階建",京王井の頭線/駒場東大前駅 歩8分
西武新宿線 下落合駅 7階建 新築,東京都新宿区上落合１,2DK,13.6万円,"新築
7階建",西武新宿線/下落合駅 歩5分
ＪＲ山手線 大塚駅 5階建 築7年,東京都豊島区南大塚２,2LDK,18万円,"築7年
5階建",ＪＲ山手線/大塚駅 歩9分
南池袋ガーデン四季,東京都豊島区南池袋３,2LDK,17.8万円,"新築
2階建",ＪＲ山手線/池袋駅 歩9分
東武東上線 下赤塚駅 2階建 築5年,東京都板橋区赤塚６,2LDK,16.3万円,"築5年
2階建",東武東上線/下赤塚駅 歩8分
ＪＲ山手線 大塚駅 5階建 築7年,東京都豊島区南大塚２,2LDK,18万円,"築7年
5階建",ＪＲ山手線/大塚駅 歩9分
ＪＲ京浜東北線 赤羽駅 13階建 築15年,東京都北区赤羽２,2DK,18.9万円,"築15年
13階建",ＪＲ京浜東北線/赤羽駅 歩7分
エスティメゾン赤羽,東京都北区赤羽２,2DK,18.9万円,"築15年
13階建",ＪＲ京浜東北線/赤羽駅 歩7分
南池袋ガーデン四季,東京都豊島区南池袋３,2LDK,17.8万円,"新築
2階建",ＪＲ山手線/池袋駅 歩9分
東京メトロ有楽町線 地下鉄赤塚駅 6階建 築5年,東京都練馬区北町３,2LDK,16.5万円,"築5年
6階建",東京メトロ有楽町線/地下鉄赤塚駅 歩7分
ＢＬＥＳＳ曳舟,東京都墨田区京島１,2LDK,17.8万円,"新築
9階建",京成押上線/京成曳舟駅 歩1分
フランエミーユ,東京都豊島区池袋本町３,2LDK,15万円,"築14年
3階建",ＪＲ埼京線/板橋駅 歩7分
都営三田線 西巣鴨駅 13階建 築13年,東京都北区滝野川７,2LDK,19.4万円,"築13年
13階建",都営三田線/西巣鴨駅 歩5分
オーキッドレジデンス三ノ輪,東京都台東区竜泉２,2LDK,17.7万円,"築5年
14階建",東京メトロ日比谷線/三ノ輪駅 歩3分
パークホームズ成増マークレジデンス,東京都板橋区成増３,2LDK,18.6万円,"築15年
9階建",東武東上線/成増駅 歩6分
京成本線 京成小岩駅 3階建 築11年,東京都江戸川区北小岩５,2SLDK,16万円,"築11年
3階建",京成本線/京成小岩駅 歩7分
